"title","summary","production_code","original_air_date","season","number_in_season","number_in_series","n","ngram_n","tf","idf","tf_idf"
"Itchy & Scratchy: The Movie","scratchy movie","9F03","1992-11-03",4,6,65,8,2,0.0038424592,6.3350542515,0.0243421873
"Marge Gets a Job","mister burns","9F05","1992-11-05",4,7,66,6,2,0.0026466696,5.2364419628,0.0138591318
"New Kid on the Block","all you can eat","9F06","1992-11-12",4,8,67,7,4,0.003058104,4.7256163391,0.0144514261
"Mr. Plow","plow","9F07","1992-11-19",4,9,68,44,1,0.0203421174,4.1378296742,0.0841722171
"Lisa's First Word","wooja","9F08","1992-12-03",4,10,69,7,1,0.0031890661,6.3350542515,0.0202029065
"Homer's Triple Bypass","bed goes","9F09","1992-12-17",4,11,70,11,2,0.0046393927,6.3350542515,0.0293908042
"Marge vs. the Monorail","monorail","9F10","1993-01-14",4,12,71,28,1,0.0119504908,5.2364419628,0.0625780516
"Selma's Choice","duff gardens","9F11","1993-01-21",4,13,72,11,2,0.005609383,6.3350542515,0.0355357454
"Brother from the Same Planet","pick up bart","9F12","1993-02-04",4,14,73,5,3,0.002712968,6.3350542515,0.0171867994
"I Love Lisa","ralph","9F13","1993-02-11",4,15,74,21,1,0.0092920354,2.0723743745,0.019256576
"Duffless","duff","9F14","1993-02-18",4,16,75,18,1,0.0086663457,2.6214821848,0.0227186708
"Last Exit to Springfield","dental plan","9F15","1993-03-11",4,17,76,19,2,0.0093734583,5.6419070709,0.0528841807
"So It's Come to This: A Simpsons Clip Show","april fools","9F17","1993-04-01",4,18,77,9,2,0.0062111801,5.2364419628,0.0325244842
"The Front","he he he he","9F16","1993-04-15",4,19,78,9,4,0.0042836744,6.3350542515,0.02713731
"Whacking Day","whacking day","9F18","1993-04-29",4,20,79,16,2,0.0073937153,6.3350542515,0.0468395878
"Marge in Chains","around and around and","9F20","1993-05-06",4,21,80,4,4,0.0019379845,5.6419070709,0.0109339284
"Krusty Gets Kancelled","gabbo","9F19","1993-05-13",4,22,81,18,1,0.0082379863,4.9487598904,0.040767816
"Homer's Barbershop Quartet","be sharps","9F21","1993-09-30",5,1,82,10,2,0.0048899756,6.3350542515,0.0309782604
"Cape Feare","sideshow bob","9F22","1993-10-07",5,2,83,10,2,0.0060313631,3.3393219779,0.0201406633
"Homer Goes to College","curly straight","1F02","1993-10-14",5,3,84,6,2,0.00234375,6.3350542515,0.0148477834
"Rosebud","bobo","1F01","1993-10-21",5,4,85,14,1,0.0063176895,4.7256163391,0.0298549769
"Treehouse of Horror IV","lu lu","1F04","1993-10-28",5,5,86,14,2,0.0067178503,5.6419070709,0.037901487
"Marge on the Lam","ballet","1F03","1993-11-04",5,6,87,9,1,0.0035335689,3.9371589787,0.0139122225
"Bart's Inner Child","brad goodman","1F05","1993-11-11",5,7,88,8,2,0.0032894737,6.3350542515,0.0208389942
"Boy-Scoutz 'n the Hood","do do","1F06","1993-11-18",5,8,89,10,2,0.0047192072,3.5018409074,0.0165259127
"The Last Temptation of Homer","mindy","1F07","1993-12-09",5,9,90,15,1,0.0065387969,4.9487598904,0.0323589356
"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)","casino","1F08","1993-12-16",5,10,91,20,1,0.0076657723,3.770104894,0.0289007658
"Homer the Vigilante","burglar","1F09","1994-01-06",5,11,92,18,1,0.0076238882,4.2556127098,0.0324443154
"Bart Gets Famous","i didnt do it","1F11","1994-02-03",5,12,93,16,4,0.0069414317,3.770104894,0.0261699255
"Homer and Apu","mart","1F10","1994-02-10",5,13,94,25,1,0.0097162845,2.5283917617,0.0245665737
"Lisa vs. Malibu Stacy","stacy","1F12","1994-02-17",5,14,95,34,1,0.0125972582,3.5624655293,0.0448772983
"Deep Space Homer","worker of the week","1F13","1994-02-24",5,15,96,4,4,0.0017204301,6.3350542515,0.0108990181
"Homer Loves Flanders","ned","1F14","1994-03-17",5,16,97,26,1,0.010851419,1.7199337347,0.0186637217
"Bart Gets an Elephant","stampy","1F15","1994-03-31",5,17,98,22,1,0.0090946672,5.2364419628,0.0476236971
"Burns' Heir","heir","1F16","1994-04-14",5,18,99,4,1,0.0017064846,5.2364419628,0.0089359078
"Sweet Seymour Skinner's Baadasssss Song","skinner","1F18","1994-04-28",5,19,100,14,1,0.0056383407,1.5310332068,0.0086324869
"The Boy Who Knew Too Much","meow meow meow","1F19","1994-05-05",5,20,101,14,3,0.0060843112,6.3350542515,0.0385444413
"Lady Bouvier's Lover","i love ya","1F21","1994-05-12",5,21,102,9,3,0.0037942664,4.9487598904,0.0187769136
"Secrets of a Successful Marriage","can teach a class","1F20","1994-05-19",5,22,103,4,4,0.0015100038,6.3350542515,0.0095659558
"Bart of Darkness","pool","1F22","1994-09-04",6,1,104,17,1,0.0086690464,2.3460702049,0.0203381915
"Lisa's Rival","allison","1F17","1994-09-11",6,2,105,14,1,0.005313093,6.3350542515,0.0336587323
"Another Simpsons Clip Show","unsexy","2F33","1994-09-25",6,3,106,4,1,0.001776988,5.6419070709,0.0100256012
"Itchy & Scratchy Land","scratchy land","2F01","1994-10-02",6,4,107,12,2,0.0058622374,5.6419070709,0.0330741988
"Sideshow Bob Roberts","bob","2F02","1994-10-09",6,5,108,29,1,0.0117124394,2.2079198665,0.0258601277
"Treehouse of Horror V","gimme the bat","2F03","1994-10-30",6,6,109,5,3,0.002535497,6.3350542515,0.0160625108
"Bart's Girlfriend","jessica","2F04","1994-11-06",6,7,110,18,1,0.0074812968,5.2364419628,0.0391753763
"Lisa on Ice","fight fight fight fight fight","2F05","1994-11-13",6,8,111,9,5,0.0040723982,5.6419070709,0.0229760921
"Homer Badman","gummy","2F06","1994-11-27",6,9,112,12,1,0.0047393365,4.1378296742,0.0196105672
"Grampa vs. Sexual Inadequacy","tonic","2F07","1994-12-04",6,10,113,7,1,0.002892562,4.3891441024,0.0126958714
"Fear of Flying","let me off let me","2F08","1994-12-18",6,11,114,12,5,0.0050041701,6.3350542515,0.0317016893
"Homer the Great","stonecutters","2F09","1995-01-08",6,12,115,16,1,0.0068640069,6.3350542515,0.0434838559
"And Maggie Makes Three","knightboat","2F10","1995-01-22",6,13,116,5,1,0.0022232103,6.3350542515,0.014084158
"Bart's Comet","comet","2F11","1995-02-05",6,14,117,17,1,0.0072836332,4.9487598904,0.0360449521
"Homie the Clown","krusty","2F12","1995-02-12",6,15,118,46,1,0.0192147034,1.3244189574,0.0254483175
"Bart vs. Australia","australia","2F13","1995-02-19",6,16,119,13,1,0.0059414991,4.9487598904,0.0294030524
"Homer vs. Patty and Selma","sallright","2F14","1995-02-26",6,17,120,6,1,0.0020611474,6.3350542515,0.0130574804
"A Star Is Burns","festival","2F31","1995-03-05",6,18,121,13,1,0.0054621849,3.0028497413,0.0164021204
"Lisa's Wedding","hugh","2F15","1995-03-19",6,19,122,15,1,0.0058117009,4.1378296742,0.0240478284
"Two Dozen and One Greyhounds","puppies","2F18","1995-04-09",6,20,123,12,1,0.0054323223,3.9371589787,0.0213879166
"The PTA Disbands","teachers","2F19","1995-04-16",6,21,124,15,1,0.0059008655,2.4032286188,0.0141811287
"'Round Springfield","dee dee dee dee","2F32","1995-04-30",6,22,125,10,4,0.0043744532,5.6419070709,0.0246802584
"The Springfield Connection","cop","2F21","1995-05-07",6,23,126,10,1,0.0039777247,2.77970619,0.0110569061
"Lemon of Troy","a part of us all","2F22","1995-05-14",6,24,127,6,5,0.0026513478,6.3350542515,0.016796432
"Who Shot Mr. Burns? (Part One)","oil","2F16","1995-05-21",6,25,128,14,1,0.0055555556,2.3277210663,0.0129317837
"Who Shot Mr. Burns? (Part Two)","burns","2F20","1995-09-17",7,1,129,33,1,0.011669024,1.0880301793,0.0126962503
"Radioactive Man","fallout boy","2F17","1995-09-24",7,2,130,18,2,0.0072756669,4.9487598904,0.0360055287
"Home Sweet Homediddly-Dum-Doodily","lice","3F01","1995-10-01",7,3,131,6,1,0.0025199496,4.5432947823,0.0114488739
"Bart Sells His Soul","soul","3F02","1995-10-08",7,4,132,40,1,0.0163532298,1.824194745,0.0298314758
"Lisa the Vegetarian","you dont win friends with","3F03","1995-10-15",7,5,133,9,5,0.003998223,6.3350542515,0.0253289597
"Treehouse of Horror VI","crap crap crap","3F04","1995-10-29",7,6,134,6,3,0.0030659172,6.3350542515,0.0194227519
"King-Size Homer","hi ya ya","3F05","1995-11-05",7,7,135,7,3,0.0029723992,6.3350542515,0.0188303099
"Mother Simpson","yoy","3F06","1995-11-19",7,8,136,4,1,0.0014738394,6.3350542515,0.0093368522
"Sideshow Bob's Last Gleaming","bob","3F08","1995-11-26",7,9,137,16,1,0.00679983,2.2079198665,0.0150134798
"The Simpsons 138th Episode Spectacular","shake shake","3F31","1995-12-03",7,10,138,9,2,0.0041058394,6.3350542515,0.0260107154
"Marge Be Not Proud","bonestorm","3F07","1995-12-17",7,11,139,8,1,0.0032388664,6.3350542515,0.0205183943
"Team Homer","down with homework","3F10","1996-01-07",7,12,140,8,3,0.0031834461,6.3350542515,0.0201673036
"Two Bad Neighbors","bush","3F09","1996-01-14",7,13,141,21,1,0.008045977,3.1570004212,0.0254011528
"Scenes from the Class Struggle in Springfield","mom mom mom","3F11","1996-02-04",7,14,142,4,3,0.0015343306,5.2364419628,0.0080344334
"Bart the Fink","krusty","3F12","1996-02-11",7,15,143,35,1,0.0130548303,1.3244189574,0.0172900647
"Lisa the Iconoclast","jebediah","3F13","1996-02-18",7,16,144,31,1,0.0121520972,4.5432947823,0.0552105599
"Homer the Smithers","mr burns","3F14","1996-02-25",7,17,145,26,2,0.0098634294,1.3862943611,0.0136736166
"The Day the Violence Died","myers","3F16","1996-03-17",7,18,146,17,1,0.0066199377,5.2364419628,0.0346649195
"A Fish Called Selma","dr zaius","3F15","1996-03-24",7,19,147,20,2,0.0075414781,6.3350542515,0.0477756731
"Bart on the Road","grammar rodeo","3F17","1996-03-31",7,20,148,9,2,0.0034078001,5.6419070709,0.0192264913
"22 Short Films About Springfield","steamed","3F18","1996-04-14",7,21,149,8,1,0.0033898305,4.1378296742,0.0140265413
"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""","hellfish","3F19","1996-04-28",7,22,150,8,1,0.0033222591,6.3350542515,0.0210466919
"Much Apu About Nothing",24,"3F20","1996-05-05",7,23,151,14,1,0.0053763441,4.3891441024,0.0235975489
"Homerpalooza","hullabalooza","3F21","1996-05-19",7,24,152,5,1,0.0020746888,6.3350542515,0.0131432661
"Summer of 4 Ft. 2","like you know whatever","3F22","1996-05-19",7,25,153,3,4,0.0014381592,6.3350542515,0.0091108163
"Treehouse of Horror VII","hugo","4F02","1996-10-27",8,1,154,9,1,0.0042938931,6.3350542515,0.0272020459
"You Only Move Twice","scorpio","3F23","1996-11-03",8,2,155,7,1,0.0026850786,6.3350542515,0.0170101188
"The Homer They Fall","tatum","4F03","1996-11-10",8,3,156,12,1,0.0045575389,3.8501476017,0.0175471976
"Burns, Baby Burns","larry","4F05","1996-11-17",8,4,157,22,1,0.0077601411,2.901067047,0.0225126896
"Bart After Dark","burlesque house","4F06","1996-11-24",8,5,158,10,2,0.0040436717,6.3350542515,0.0256168793
"A Milhouse Divided","luann","4F04","1996-12-01",8,6,159,11,1,0.0042275173,3.6959969219,0.0156248909
"Lisa's Date with Density","nelson","4F01","1996-12-15",8,7,160,18,1,0.0066815145,1.824194745,0.0121883836
"Hurricane Neddy","ned","4F07","1996-12-29",8,8,161,18,1,0.0070643642,1.7199337347,0.0121502383
"El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)","soul mate","3F24","1997-01-05",8,9,162,16,2,0.0076335878,4.5432947823,0.0346816396
"The Springfield Files","alien","3G01","1997-01-12",8,10,163,14,1,0.0061295972,3.6959969219,0.0226549724
"The Twisted World of Marge Simpson","pretzel","4F08","1997-01-19",8,11,164,13,1,0.0053874845,4.2556127098,0.0229270473
"Mountain of Madness","cabin","4F10","1997-02-02",8,12,165,13,1,0.0056917688,4.1378296742,0.0235515699
"Simpsoncalifragilisticexpiala(Annoyed Grunt)cious","bobbins","3G03","1997-02-07",8,13,166,15,1,0.0068775791,6.3350542515,0.0435698367
"The Itchy & Scratchy & Poochie Show","poochie","4F12","1997-02-09",8,14,167,31,1,0.0114348949,4.0324691585,0.0461108609
"Homer's Phobia","deer","4F11","1997-02-16",8,15,168,9,1,0.0033872789,3.6270040504,0.0122856742
"Brother from Another Series","cecil","4F14","1997-02-23",8,16,169,13,1,0.0050446255,4.7256163391,0.0238389648
"My Sister, My Sitter","babysitter","4F13","1997-03-02",8,17,170,9,1,0.003515625,3.9371589787,0.0138415745
"Homer vs. the Eighteenth Amendment","prohibition","4F15","1997-03-16",8,18,171,14,1,0.0055888224,5.6419070709,0.0315316164
"Grade School Confidential","edna","4F09","1997-04-06",8,19,172,16,1,0.0060813379,2.506412855,0.0152423435
"The Canine Mutiny","laddie","4F16","1997-04-13",8,20,173,14,1,0.0058947368,4.9487598904,0.0291716372
"The Old Man and the Lisa","recycling","4F17","1997-04-20",8,21,174,12,1,0.0044759418,4.7256163391,0.0211515838
"In Marge We Trust","mr sparkle","4F18","1997-04-27",8,22,175,7,2,0.0030434783,5.6419070709,0.0171710215
"Homer's Enemy","its him its him","4F19","1997-05-04",8,23,176,10,4,0.0040469446,6.3350542515,0.0256376133
"The Simpsons Spin-Off Showcase","big daddy","4F20","1997-05-11",8,24,177,6,2,0.002529511,5.6419070709,0.0142712658
"The Secret War of Lisa Simpson","military school","4F21","1997-05-18",8,25,178,6,2,0.0025062657,6.3350542515,0.015877329
"The City of New York vs. Homer Simpson","new york","4F22","1997-09-21",9,1,179,12,2,0.0064829822,2.6214821848,0.0169950223
"The Principal and the Pauper","armin","4F23","1997-09-28",9,2,180,11,1,0.0040278286,6.3350542515,0.0255165129
"Lisa's Sax","air conditioner","3G02","1997-10-19",9,3,181,7,2,0.0030159414,3.9371589787,0.0118742408
"Treehouse of Horror VIII","witch","5F02","1997-10-26",9,4,182,11,1,0.0054428501,3.1570004212,0.01718308
"The Cartridge Family","gun","5F01","1997-11-02",9,5,183,26,1,0.011348756,1.8024547583,0.0204556193
"Bart Star","youre cut","5F03","1997-11-09",9,6,184,7,2,0.002991453,6.3350542515,0.018951017
"The Two Mrs. Nahasapeemapetilons","i got zero","5F04","1997-11-16",9,7,185,5,3,0.0019880716,6.3350542515,0.0125945413
"Lisa the Skeptic","angel","5F05","1997-11-23",9,8,186,37,1,0.0138008206,2.5283917617,0.0348938811
"Realty Bites","that house","5F06","1997-12-07",9,9,187,6,2,0.00249066,4.3891441024,0.0109318658
"Miracle on Evergreen Terrace","washcloth","5F07","1997-12-21",9,10,188,6,1,0.0028571429,5.2364419628,0.0149612628
"All Singing, All Dancing","gonna paint","5F24","1998-01-04",9,11,189,6,2,0.0079155673,4.9487598904,0.0391722419
"Bart Carny","ding ding","5F08","1998-01-11",9,12,190,16,2,0.0064102564,4.1378296742,0.0265245492
"The Joy of Sect","na na","5F23","1998-02-08",9,13,191,42,2,0.0153284672,4.9487598904,0.0758569034
"Das Bus","internet","5F11","1998-02-15",9,14,192,11,1,0.0048500882,2.3647623379,0.0114693059
"The Last Temptation of Krust","canyonero","5F10","1998-02-22",9,15,193,17,1,0.0066823899,5.6419070709,0.037701423
"Dumbbell Indemnity","renee","5F12","1998-03-01",9,16,194,8,1,0.0031189084,6.3350542515,0.0197584538
"Lisa the Simpson","ha ha","4F24","1998-03-08",9,17,195,15,2,0.0060827251,1.7199337347,0.010461884
"This Little Wiggy","ralph","5F13","1998-03-22",9,18,196,35,1,0.0154320988,2.0723743745,0.031981086
"Simpson Tide","earring","3G04","1998-03-29",9,19,197,9,1,0.003968254,4.7256163391,0.0187524458
"The Trouble with Trillions","trillion","5F14","1998-04-05",9,20,198,10,1,0.0039339103,5.6419070709,0.0221947564
"Girly Edition","mojo","5F15","1998-04-19",9,21,199,8,1,0.0032193159,5.2364419628,0.0168577608
"Trash of the Titans","patterson","5F09","1998-04-26",9,22,200,10,1,0.0038925652,4.9487598904,0.0192633705
"King of the Hill","power sauce","5F16","1998-05-03",9,23,201,15,2,0.0071770335,6.3350542515,0.0454668965
"Lost Our Lisa","do do do","5F17","1998-05-10",9,24,202,21,3,0.0098777046,3.9371589787,0.0388900934
"Natural Born Kissers","cha","5F18","1998-05-17",9,25,203,6,1,0.0027124774,4.0324691585,0.0109379814
"Lard of the Dance","grease","5F20","1998-08-23",10,1,204,24,1,0.0093713393,3.3906152723,0.0317746062
"The Wizard of Evergreen Terrace","edison","5F21","1998-09-20",10,2,205,24,1,0.0096308186,4.9487598904,0.0476606089
"Bart the Mother","lizards","5F22","1998-09-27",10,3,206,9,1,0.0036930652,4.9487598904,0.0182760932
"Treehouse of Horror IX","this little piggy went","AABF01","1998-10-25",10,4,207,4,4,0.0022172949,6.3350542515,0.0140466835
"When You Dish Upon a Star","alec","5F19","1998-11-08",10,5,208,11,1,0.0039668229,4.9487598904,0.0196308542
"D'oh-in' in the Wind","hippie","AABF02","1998-11-15",10,6,209,13,1,0.0055484422,3.2905318138,0.0182573255
"Lisa Gets an ""A""","pinchy","AABF03","1998-11-22",10,7,210,12,1,0.0045454545,6.3350542515,0.0287957011
"Homer Simpson in: ""Kidney Trouble""","kidney","AABF04","1998-12-06",10,8,211,10,1,0.0041254125,3.6270040504,0.014962888
"Mayored to the Mob","mayor","AABF05","1998-12-20",10,9,212,23,1,0.0089355089,2.3838105329,0.0213005603
"Viva Ned Flanders","okay okay okay","AABF06","1999-01-10",10,10,213,6,3,0.0024154589,4.3891441024,0.0106017973
"Wild Barts Can't Be Broken","curfew","AABF07","1999-01-17",10,11,214,10,1,0.0042069836,6.3350542515,0.0266514693
"Sunday, Cruddy Sunday","super bowl","AABF08","1999-01-31",10,12,215,13,2,0.0050920486,3.3393219779,0.0170039897
"Homer to the Max","max power","AABF09","1999-02-07",10,13,216,12,2,0.004552352,6.3350542515,0.0288393972
"I'm with Cupid","manjula","AABF11","1999-02-14",10,14,217,9,1,0.0035828025,3.9371589787,0.0141060632
"Marge Simpson in: ""Screaming Yellow Honkers""","nbc","AABF10","1999-02-21",10,15,218,5,1,0.0022431584,4.5432947823,0.0101913297
"Make Room for Lisa","hippie lady","AABF12","1999-02-28",10,16,219,4,2,0.001490313,6.3350542515,0.0094412135
"Maximum Homerdrive","trucker","AABF13","1999-03-28",10,17,220,6,1,0.00243309,5.6419070709,0.0137272678
"Simpsons Bible Stories","goliath","AABF14","1999-04-04",10,18,221,14,1,0.0072614108,4.5432947823,0.0329907297
"Mom and Pop Art","art","AABF15","1999-04-11",10,19,222,20,1,0.0082068117,1.9530276168,0.0160281298
"The Old Man and the ""C"" Student","springs","AABF16","1999-04-25",10,20,223,10,1,0.0043744532,4.7256163391,0.0206719875
"Monty Can't Buy Me Love","arthur fortune","AABF17","1999-05-02",10,21,224,8,2,0.0032520325,6.3350542515,0.0206018024
"They Saved Lisa's Brain","gazebo","AABF18","1999-05-09",10,22,225,6,1,0.0021929825,5.6419070709,0.0123726032
"Thirty Minutes over Tokyo","plum met","AABF20","1999-05-16",10,23,226,8,2,0.0034662045,6.3350542515,0.0219585936
"Beyond Blunderdome","mel","AABF23","1999-09-26",11,1,227,30,1,0.0109609061,2.5508646176,0.0279597876
"Brother's Little Helper","focusyn","AABF22","1999-10-03",11,2,228,5,1,0.0018477458,6.3350542515,0.0117055696
"Guess Who's Coming to Criticize Dinner?","critic","AABF21","1999-10-24",11,3,229,12,1,0.0048192771,4.0324691585,0.0194335863
"Treehouse of Horror X","xena","BABF01","1999-10-31",11,4,230,7,1,0.0033557047,5.6419070709,0.0189325741
"E-I-E-I-(Annoyed Grunt)","glove slap","AABF19","1999-11-07",11,5,231,16,2,0.0062671367,6.3350542515,0.039702651
"Hello Gutter, Hello Fadder","perfect game","BABF02","1999-11-14",11,6,232,6,2,0.0027688048,6.3350542515,0.0175405286
"Eight Misbehavin'","babies","BABF03","1999-11-21",11,7,233,18,1,0.0073710074,2.017566138,0.0148714949
"Take My Wife, Sleaze","oink","BABF05","1999-11-28",11,8,234,9,1,0.004,4.9487598904,0.0197950396
